Data,A/V,Estado,Valor de Entrada,Caução
05/08/24,Aluguel,PE,,700
05/08/24,Aluguel,AL,,500
05/08/24,Aluguel,SC,,500
05/08/24,Aluguel,PR,,700
05/08/24,Aluguel,AL,,500
05/08/24,Aluguel,PR,,700
05/08/24,Aluguel,PR,,650
05/08/24,Aluguel,MT,,700
05/08/24,Aluguel,AM,,500
05/08/24,Aluguel,SE,,500
05/08/24,Aluguel,PA,,700
05/08/24,Aluguel,CE,,500
05/08/24,Aluguel,PB,,700
06/08/24,Aluguel,RO,,500
06/08/24,Aluguel,AL,,700
06/08/24,Aluguel,SE,,500
06/08/24,Aluguel,PB,,700
06/08/24,Aluguel,RN,,500
06/08/24,Aluguel,MT,,700
06/08/24,Aluguel,PA,,500
06/08/24,Aluguel,SC,,700
06/08/24,Aluguel,PE,,500
06/08/24,Aluguel,GO,,700
06/08/24,Aluguel,SC,,500
06/08/24,Aluguel,RN,,600
06/08/24,Aluguel,RS,,800
06/08/24,Aluguel,PA,,650
06/08/24,Aluguel,AP,,700
06/08/24,Aluguel,SE,,500
06/08/24,Aluguel,PI,,600
06/08/24,Aluguel,RO,,550
06/08/24,Aluguel,RN,,600
06/08/24,Aluguel,ES,,700
06/08/24,Aluguel,MG,,850
06/08/24,Aluguel,AL,,700
06/08/24,Aluguel,CE,,500
06/08/24,Aluguel,SC,,500
06/08/24,Aluguel,SC,,500
06/08/24,Aluguel,RJ,,700
06/08/24,Aluguel,RN,,700
06/08/24,Aluguel,RS,,500
06/08/24,Aluguel,PA,,500
06/08/24,Aluguel,ES,,700
06/08/24,Aluguel,BA,,700
06/08/24,Aluguel,BA,,700
06/08/24,Aluguel,BA,,700
06/08/24,Aluguel,MG,,500
06/08/24,Aluguel,BA,,700
06/08/24,Aluguel,PE,,700
06/08/24,Aluguel,AL,,500
06/08/24,Aluguel,BA,,700
06/08/24,Aluguel,PE,,700
06/08/24,Aluguel,BA,,700
06/08/24,Aluguel,SC,,500
06/08/24,Aluguel,SC,,550
06/08/24,Aluguel,CE,,500
06/08/24,Aluguel,MT,,700
06/08/24,Aluguel,PI,,500
06/08/24,Aluguel,MG,,500
06/08/24,Aluguel,GO,,500
06/08/24,Aluguel,PE,,700
06/08/24,Aluguel,RN,,700
07/08/24,Aluguel,MS,,500
07/08/24,Aluguel,MG,,500
07/08/24,Aluguel,BA,,700
07/08/24,Aluguel,CE,,700
07/08/24,Aluguel,RR,,500
07/08/24,Aluguel,MA,,500
07/08/24,Aluguel,TO,,700
07/08/24,Aluguel,AP,,700
07/08/24,Aluguel,DF,,500
07/08/24,Aluguel,PI,,700
07/08/24,Aluguel,GO,,500
07/08/24,Aluguel,AP,,700
07/08/24,Aluguel,SE,,500
07/08/24,Aluguel,PI,,700
07/08/24,Aluguel,RO,,500
07/08/24,Aluguel,RN,,700
07/08/24,Aluguel,ES,,700
07/08/24,Aluguel,MG,,500
07/08/24,Aluguel,SP,,500
07/08/24,Aluguel,AL,,700
07/08/24,Aluguel,CE,,500
07/08/24,Aluguel,SC,,500
07/08/24,Aluguel,SC,,500
07/08/24,Aluguel,RN,,700
07/08/24,Aluguel,RS,,500
07/08/24,Aluguel,PR,,700
07/08/24,Aluguel,SP,,500
07/08/24,Aluguel,SP,,500
07/08/24,Aluguel,SP,,500
07/08/24,Aluguel,AL,,700
07/08/24,Aluguel,SP,,500
07/08/24,Aluguel,AL,,500
07/08/24,Aluguel,BA,,700
07/08/24,Aluguel,PE,,500
07/08/24,Aluguel,AL,,500
07/08/24,Aluguel,PE,,500
07/08/24,Aluguel,BA,,700
07/08/24,Aluguel,SC,,500
07/08/24,Aluguel,MG,,600
07/08/24,Aluguel,RN,,500
07/08/24,Aluguel,CE,,500
07/08/24,Aluguel,RO,,700
07/08/24,Aluguel,PR,,700
07/08/24,Aluguel,MS,,700
07/08/24,Aluguel,AM,,500
